VALUE;remove_RT;;
;eiszChalifah lahh kalo fokus ngurus pandemi kenapa pilkada kemaren ttp jalan. 😪;;
;yariefhasan @Demokrat_TV @tvOneNews @mprgoid @PDemokrat @FPD_DPR Bagai mana dgn perubahan pilkada  dan  ...apa sdh bnr tepat kalau ada seorang pemimpin dgn alasan pandemi...apa pd saat pilkada anak dan mantu nya...blm ada masa pandemi..;;
;dtodayco Pilkada  di paksain walaupun pandemi katanya mawa abis jabatan biar ga terlalu lama, sekarang pilkada  disuruh mundur ke , ini maksudnya gimana???? Sukak sukak kelen aja lah;;
;yariefhasan @ANDINURPATI @tvOneNews @mprgoid @PDemokrat @FPD_DPR Waktu pandemi kemaren saja ngotot pilkada demi anak mantu;;
;enrysubiakto Pandemi C...tuu yg perlu diurus..Pilkada ga urgentlah..Manfaatkan biaya APBN sebaik-baiknya itu yg lbh penting !!;;
;epublikaonline Sekedar usul, sebaiknya alasan krn sedang pandemi dikesampingkan karena sdh terbukti pilkada  berlangsung di tengah pandemi.;;
;dtodayco Kalau bikin aturan yang awet lah, masa tiap pemilu diubah mulu, jadi kental nuansa ambisi politiknya. Pilkada  diundur jadi  karena pemilu, terus dipaksakan (ga bisa diundur)  pas pandemi. Sekarang minta diundur jadi  bareng pemilu ? Jadi serba terbalik;;
;eloraco Setahun lalu, awal pandemi benernya udah ok .. DKI  PSBB (tp gubernurnya dibuli), kesadaran warga di kota ogut sudah betul ... banyak kampung ditutup ... tp tdk didukung pemerintah ... alasannya cuma karena ingin melaksanakan PILKADA ... skr rakyat ndak peduli ..;;
;"Bedoel @xvidgmbk SETUJU...  Apalgi dlm kondisi krisis ekonomi akibat pandemi,efisiensi anggarn sgt dibtuhkn saat ini. Andai mnyetujui klompok partai yg mnginginkn &amp; pilkada srentak dlksnakan,brp triliyun anggarn dlm konteks blnja brg yg habis pakai sprti kertas&amp;kotak suar";;
;dy_Asmara Begitulah rakus nya kekuasaan ... giliran pandemi yg dikhawatirkan dia ngotot pilkada serentak.... jadinya sekarang.... giliran pilkada yg wajar dia maunya ditunda...krn maunya agar dikuasai mereka shg ada waktu semua asn bisa dikondisikan  dulu... nikmatnya mrk berkuas;;
;eloraco @chandra_dewi PDIP mau ngacak-ngacak aturan.  Kenapa waktu pilkada kemarin tdk mau diundur padahal sedang pandemi??;;
;rchnr Tapi can bantuan itu gak berdampak sama pandemi. Solusi itu harusnya berdampak. contoh lockdown, vaksin dan pilkada bisa online. Dampaknya pasti signifikan. Bansos itu cuma bantuan ekonomi, itu dampak pandemi bukan pandeminya langsung.;;
;__Mr_Jn____ Kok bisa pilkada di maju mundurkan se enak udelnya mereka yaaa ?? Drs kemarin waktu pandemi maksa tetap pilkada... Oncom !!!;;
;eiszChalifah Lahhh... pilkada di pandemi aja ga ditunda;;
;eiszChalifah Tapi yg tahun  kok ngeyel dipaksakan Pilkada, kan sama masih masa Pandemi..... Dasar gerombolan OD ga punya akhlak.;;
;eiszChalifah segala cara menjegal,  termasuk uu pengunduran pilkada ke , alasan pandemi,  desember pandemi lg naiknya dipaksakan pilkada.  Sungguh busuk,  jorok cara mainnya.;;
;eiszChalifah Bukannya pilkada tak boleh di tahun yang sama dengan pemilu? Tahun  saja pilkada diundur jadi .  Pilkada  pas pandemi alasannya tak bisa diundur lagi, biar tak dijabat PLT terlalu lama. Sekarang pilkada  minta diundur , mikir .....?;;
;Fraksi PKB Minta Pilkada Serentak Tetap , Pemerintah Harus Fokus ke Pandemi | akimiNOW @DPP_PKB @FraksiPKB  Klik untuk baca:  https://t.co/sZfjwWQsT;;
;eiszChalifah Pilkada kemarin kok jalan terus.. Mau fokus pandemi kok Bansos dikorupsi.. alah Mak..mau ketiwi ada UU lTE🤭;;
;eiszChalifah Kalau alasan upaya mengatasi pandemi, kenapa saat pilkada yg lalu tetap dipaksakan...;;
;eiszChalifah Bisa nya DIA SAJA.   berarti berharap masih pandemi YA.  Yang desember  jelas pandemi mereka adain pilkada.  Koruptor nya aja urus &amp;;
;eiszChalifah Absurd, lha pilkada kmrn ditengah pandemi juga?;;
;eiszChalifah aneh, pilkada  di tengah pandemi lagi tingginya ya tetap jalan aja... justru di  harusnya keadaan sudah membaik dari;mata hati;
;empodotco lagi pandemi gini baiknya sih pilkada tetep ditunda;;
;clawkwrd @PambudiTri @mokure @kurawa @AkhmadOfficial itu justru membuktikan bahwa indonesia tidak gagal dalam menghadapi pandemi ini. itu membuktikan dengan jumlah ranjang rumah sakit yang sedikit, kelangkaan baru terjadi akhir ini. itu juga sangat diperparah oleh liburan nasiona;;
;"umparan Lagi pandemi gini . Ga usah pilkada"" deh ..mending duitnya dialihin ke yg lbh manfaat";;
;"usephso @CNNIndonesia Hobi banget nyalahin warga, trus gunanya pemimpin utk apa? Gunanya presiden utk apa? Dimana yg salah itu pemimpin, apakah pemimpin NKRI ini sdh memberikan contoh yg baik, sebegitu ngototnya utk mengadakan pilkada agar anak&amp; menantu menang, ketika sdh men";;
;arlina_idha @CharlioMoerdadi Ketika pandemi Pilkada ngotot harus dilaksanakan, ketika (mudah - mudahan)  sdh teratasi maksa ditunda.  Makin lieur aing;;
;ak_sugenk pilkada sukses. penanganan pandemi/program vaksinasi 🤷🏼‍♂️. pdhl skala prioritas jelas;;
;arlina_idha Iblis bener, seharusnya PILKADA kemarin yg ditunda krna pandemi sedang merebak!!!!;;
;ayaFarrell @yudavvu @hrs_mm @Yaaudahsih @sunfloweritsme @joelian_stc @bayusabdahedap ulyadirana @aardos @CNNIndonesia Eh ada satu lagi nih: Pilkada ditengah pandemi corona;;
;NNIndonesia @tirta_hudhi Ajak rakyat merenung? Lg pandemi pemerintah ijinkan pilkada,semua pada senang tuh pejabat gila kuasa. Giliran tembus sejuta kok kaget?;;
;"eloraco Kacau penangan pandemi,krn tdk d bendung dr awal.pemicu utama.pilkada&amp;kepulangan HRS";;
;posisiCerdas @IndahPuspitaz Apa alasan pilkada ditiadakan? sedangkan pilkada ditengah pandemi saja tetap dilakukan.;;
;etikcom Haha partai pengecut, kenapa kemarin maksa pilkada saat pandemi, lah sekarang malah beda, jelas sekali permainan kotornya hanya untuk kepentingan golongannya saja.;;
;Pemerintah Diminta Fokus Atasi Pandemi, Legislator Gerinda Usul Pilkada  Ditunda ke  erindra   https://t.co/BgaiSsvzr;;
;NNIndonesia Udah setahun baru didesak lockdown, kenapa gak pas awal awal coba..ealahhhh , pilkada kemarin ya jalan aja ditengan pandemi..;;
;elekinaja @CNNIndonesia Penduduk nkri emang bandel, udh tau lg pandemi masih aja gelar pilkada.  https://t.co/jUIcGazaI;;
;etikcom Se-urgent apa sih harus merayakan suksesnya pilkada dimasa pandemi ini? Sudah jelas lebih urgent mereka (penjual) warung makan yg buka malam hari untuk mencari nafkah demi menyambung hidup.;;
;eiszChalifah Pilkada Pandemi oke, lanjot;;
;xtdrpemerintah Hehe alhamdulillah pemerintah mampu atasi ksisis pandemi ini, terutama mengenai krisis kesehatan. Makanya kemarin pas mau pilkada hampir seluruh wilayah di Indonesia pada zona hijau semua;;
;Apa mau di kata bg eiszChalifah ,apapun mereka lakukan,tapi giliran pemilihan untuk keluarga mereka,mereka paksakan untuk melaksanakan Pilkada Tampa memperhitungkan keadaan di masa Pandemi ini,adapun pelanggaran,mereka bilang sudah di atur UU,entah yg mana lebih kejam dri ORBA;;
;"Demi ambisi &amp; jaga asa nyapres gini amat niesbaswedan 🤦‍♂️   dulu menang pilkada krn politisasi ayat &amp; mayat, saat pandemi penuhi Ibu Kota dg tugu mayat skr mayat lg dijadikan konten😔 demen banget ama mayat?!😕   begini kualitas capres kaum kadrun😁  https";;
;said_didu Indikatornya,martabak markobar sakseus,anak mantu sakseus pilkada, bisnis sawit Ama batu bara sakseus,bisnis dana bansos sakseus,itu indikator kita sudah berhasil atasi krisis ekonomi di saat pandemi ini,masak gitu aja gak faham puang;;
;pak niesbaswedan orang sabar, Allah maha mengetahui dan jika benar pilkada  maka berpikir,  pilkada  di lakukan di saat Pandemi covid itu demia siapa ?  https://t.co/AeuZmmaz;;
;rnestprakasa @Arie_Kriting @aciresti @ArditErwandha Stand up perlu naik level nih. Ayo dong bicara keresahan di musim pandemi. Korupsi. Pilkada. Di U.S materinya udh berat contoh:BlackLivesMatter;;
;eddycputra @sukasukayumi @kmhdi Kel nganten tyang niki wkwkwk. Jangan lah jadi pengurus teros wkwkwkkw.   Pilkada aja bisaa ditengah pandemi wkwkkw;;
;empodotco Belajar lah dari Indonesia, bisa pilkada disaat pandemi,;;
;empodotco Padahal kl dulu HRS d tahan d arab,stop dulu pilkada.pandemi tdk akan membuat berat ke semua sektor 😔;;
;Amerika beri apresiasi atas pelaksanaan Pilkada yg berjalan lancar dg tingkat partisipasi warga mencapai %. Angka yg tidak sedikit di tengah pandemi Covid opipolitik aretcendol @KupuUngu @dadang_raya  https://t.co/cGApGAxui;;
;"KaBakomstra Demokrat:  Jk Pilkada  &amp;  ditunda ke , maka akan muncul permasalahan akibat pejabat kepala daerah yg lama menjabat. Ini jg rentan terjadi kebijakan penanganan pandemi tdk maksimal. Kami tolak Pilkada digelar serentak dgn Pemilu .  @HerzakyMPutra_  https://t.co/FZG";;
;edenBandung Iya tapi kebanyakan yg nggk ngotak tuh lagi pandemi, kiris ekonomi masih aja di maling juga duit buat bantuan masyarakat yg kena PHK coba lebih parah sih, kasus si harun masiku aja gak jelas. Partai wong cilik hanya slogan doang, next pilpres atau pilkada gak sudi lag;;
;PilkadaSuksesDiapresiasi Tingginya partisipasi pemilih satu prestasi yg patut di banggakan. Pilkada di tengah hantaman pandemi tak menyurutkan semangat pemilih untuk ikut menyalurkan suara.   emendagri @jokowi   https://t.co/ZqjKANbYPg;;
;xtdaridepok Udah pilkada pas pandemi, yang kepilih begini lagi. Canda pandemi.;;
;irmala_F @kemendagri Sukses Alhamdulillah pilkada yg diadakan ditengah pandemi  PilkadaSuksesDiapresiasi;rmasuk pilkada.;
;Amerika Puji Pelaksanaan Pilkada Serentak di Indonesia  PilkadaSuksesDiapresiasi Karena Berjalan lancar, tertib, aman, walau di saat pandemi. 👍 emendagri @KPU_ID Dll... 🙏🇮🇩    https://t.co/eQeXBXMtta;;
;irmala_F @kemendagri Alhamdulillah pilkada yg diadakan ditengah pandemi akhirnya sukses  PilkadaSuksesDiapresiasi;;
;Banyak negara memuji Pilkada Indonesia. Walau ditengah pandemi partisipasi masyarakat ,%.   Keren👍  emendagri   PilkadaSuksesDiapresiasi   https://t.co/lreyOcRAgb;;
;avidGosal @geloraco klo hnya sekedar cari pembanding bkn fokus utk atasi pandemi covid efek pilkada jauh signifikan procentase pemaparannya.;;
;Tes masal tidak dilakukan, Tracing apalagi, Treat, faskes diambang kolaps, Vaksinasi sistemnya kocar kacir,  PILKADA SERENTAK DI MASA PANDEMI BERHASIL DILAKUKAN, ANAK DAN MENANTU MENANG PULA.  Ntab pak okowi !!! Tidak rugi saya milih dan promosikan njenengan..;;
;Anu, pak okowi menyelenggarakan pilkada serentak di masa pandemi itu lebih rumit kog daripada vaksinasi nakes.  Kalo menggelar pilkada saja mampu dan tak bisa ditunda, vaksinasi nakes pasti bisa dilakukan dengan merem;;
;eyen @CNNIndonesia Rakyat muluk di salahin....awal pandemi sapa yg ngeremehin...pake goyang ubur²lah..promosi wisatalah...kalung coronalah...blm istilah² yang di ubah²...wislah PILKADA LAGI YUK BEN NORMAL KEMBALI !!;;
;") ""Kami jg menaruh hormat setinggi-tingginya atas kerja kerasnya belakangan ini utk mendisain Pilkada sehat yg beradaptasi dgn kebiasaan baru di tengah Pandemi,"" ungkapnya, Kamis (/). DemokrasiKitaDihargai  rabawananda @k_men @kompretandreas anggilan_E @RaswoMa  https://t.co/ApDo";;
;"PANDEMI jangan di jadikan alasan, tapi persiapkanlah dengan baik. Kami percaya kalian ssi  &amp; t_lib propesional banget kok.  Bapak-bapak @divisihumaspolri yang terhormat, jangan bikin susah &amp; ribet ijinnya, pilkada aja lancar jaya kok.";;
;ipoalam @faridwadjdi Sy kira mau dituduhkan keakibat kerumunan HRS, kalaw gitu aman,HRS akan cepat dibebaskan dan diganti oleh yg menyebabkan maksa pilkada ditengah pandemi;;
;eanAprilia Yanga salah yang ngotot dan memberi ijin pilkada jalan terus walapun dalam masa pandemi;;
;ateng_Twit @satpolsukoharjo @sukoharjo_kab @ganjarpranowo Pandemi membuat gambaran sosok pemimpin jadi terang benderang. Mana yg hanya memimpin utk berkuasa, mana pemimpin yg betul” amanah demi kejahteraan rakyat. Harusnya ini jadi dasar buat rakyat siapa yg pantas dipilih dala;;
;Menurut Tito, angka , persen pemilih menjadi sebuah keberhasilan. Sebab, Pilkada serentak  dilangsungkan saat pandemi Cvid-. Selain itu, angka partisipasi pemilih Pilkada  lebih tinggi dibandingkan pesta politik di US. emendagri   https://t.co/fgBCEMzO;;
;Banyak negara memuji Pilkada Indonesia. Walau ditengah pandemi partisipasi masyarakat ,%.   Keren👍   emendagri  https://t.co/lreyOcRAgb;;
;erdinandHaean Dlm masa pandemi, semua bisa berubah. Tp keinginan berkuasa tak bisa dibendung. Semua hrs sesuai keinginan. Disaat kota lain melakukan pilkada, mereka tak setuju. Di daerah sendiri yg NB krna mencalonkan diri dan peraturannya di rubah tp tak mau taat.;;
;epublikaonline Jaman udah canggih, pdhl voting pilkada BS online, yg penting proteksi cyber berlapis, JD  ga perlu manual LG saat pandemi seperti ini.;;
;NNIndonesia Ayo pak @DivHumas_Polri ,tangkap orang yg mengijinkan pilkada dikala pandemi kemarin;;
;owowoNowiwi Pantes pilkada dipaksakan disaat pandemi  https://t.co/YueZBKlr;;
;Tidak biasanya membaca buletin Dewan Pers. Kebetulan ada tulisan dari jurnalis idola dan anggota Dewan Pers Mas Azul rifz_tempo isinya menyinggung liputan Pilkada Solo yang kami kerjakan saat pandemi. Sehat-sehat Mas Azul.  https://t.co/IIpRlfqwV;;
;uqmanBeeNKRI Yes.. Tapi apakah berbanding lurus dengan Hasil pilkada Di masa pandemi kemarin..;;
;ef_heryanto @CNNIndonesia CNN kan hanya mengutip riset org lain. Jln lah ke jkt klo pandemi dah usai. Biar isi otak tdk berasal dr framing. Biar objektif berpikir. Jgn krn beda pendapat oh itu akibat pilkada , auto jdcebong, auto kafir Yakinlah dunia ini bkn hanya soal cebong vs;;
;irdzaradiany @neserike Darimana tau peak pandemi adalah dampak tahun baru? Opini? Bisa saja sudah dari pilkada serentak kemarin yang baru terakumulasi saat ini.;;
;meeranti Lagian di masa pandemi dan ekonomi lagi susah begini eh si mensos syantik @KemensosRI udah kegenitan dini mikirin politik pilkada . Mbok ya jangan tamak amat sama kekuasaan. Lama klo rakyat muak bukan cuma didemo tapi diusir suruh balik kampung.;;
;ndykurniawan @palangmerah @anismatta @Fahrihamzah @partaigeloraid @dediharyono @gelorasulsel @gelora_SUMUT Bayangi ditengah pandemi tetap dukung anak n mantu pak de d pilkada..;;
;aufiqrus @Choco_strwbrry Ada lagi yg terlewat..  Pilkada saat pandemi. Bkn hanya kerumun, tapi bnyk yg jadi positif.. 🙏;;
;etikcom Secara pribadi ya, saya tak kaget lah ya dengan pemecatan ini. Mungkin juga karena efek pemaksaan Pilkada ditengah pandemi;;
;azpohan @KavindraOemar Lekra? Bajerp, check Bikin mercusuar? Anggaran infra pas pandemi malah naek, check Penyalahgunaan kekuasaan? Pilkada pas pandemi, check  Ada lagi?;;
;NNIndonesia Agak aneh...KPU..yang sukses menyelenggarakan Pilkada serentak di tengah pandemi yg tdk mudah..tersandung pemecatan..yg tak urgent..😎😎😎😎;;
;kijenglala @OngisnadeNet yakin, pola pikir mereka saat pandemi sama bukan saat pandemi pasti beda. masa kalah sama pilkada;;
;aza @Bang_ruspiin @mrezaalfatih Tapi ada acara yg lebih rame di tengah pandemi bro salah satunya pilkada dan acara maulid habib lutfi kamu harus tau itu... knp habib lutfi tidak di tangkap apa karena beliau tidak melawan rezim...;;
;obeh @anFanani NNIndonesia Pake alasan kedaruratan tapi mereka sepelekan virua di awal pandemi, lockdown ogah, pilkada tetap jalan demi anak, mantu dan besan, libur panjang ditetapkan. Zalim sekali mereka kpd rakyat. Allahpastibalaskedzaliman IndonesiaHumanRightsSOS;;
;encod Gimana nggak bersyukur, ditengah pandemi anak dan mantu menang pilkada. Ini keluarga masa depan cerah k.;;
;f_ Ga mungkin dong. Kan pilkada ada payung hukumnya. Virus korona kan entitas kecil yg bisa melihat aspek hukum dari calon korbannya. Misal ada kerumuman yg dibolehkan hukum negara nganu, maka virus tidak menyebar. Urusan pandemi ini di negeri nganu bukan hal sains tapi soal huku;;
;h_notodiputro Sebelum nyalahin masyarakat, harusnya bapak tanya dulu ke: . Kapolri yang sudah cabut larangan kerumunan bulan juni. . Yang maksain harus pilkada, padahal masih rawan pandemi. . Yang ngotot beli vaksin padahal belum jelas, bahkan negara asal aja gak mau pake.;;
;Tanda tanda pilkada serentak tahun  diundur ke  sekalian pilpres.  DI_Perjuangan bersama Partai Golkar harus berjuang di parlemen untuk undur pilkada serentak selanjutnya.  Masa pandemi panjang, vaksinasi butuh waktu lama..;;
;ktariDY Jelas kesalahan masyarakatnya kok... kalo dihubungkan sama pilkada kenapa juga mau nyoblos di masa pandemi... kan goblok...   Tetap hindari kerumunan ... buat ibadah sekalipun... karena protokol kesehatan cuma diatur waktu duduk saja... pas bubar pasti jadi kerumunan....�;;
;ihana_ Masnya masih beruntung masih masih bisa kerja jadi pengawas pilkada. Kasian yang tidak kerja sama sekali sejak pandemi mas.    Ngeluhmu masih kasian orang lain yang blm kerja dan kena PHK lur  https://t.co/AydGUpRxVt;;
;incentJun @tvOneNews Aturan pilkada...?? Pawai kemenangan itu bukan bagian pilkada di masa pandemi seperti ini kerumunan sangat riskan menimbulkan claster baru....dan anda paham,nyawa lebih berarti ketimbang jabatan... Dan nyata mereka mementingkan jabatan daripada nyawa;;
;Makanya Pilkada dipaksa di tengah pandemi , biar dana bansosnya bisa dirampok untuk kepentingan kampanye !!  SIAL  Pengamat: Temuan BPK, Petahana Pakai Dana Bansos untuk Kampanye  https://t.co/liNAWyvfo via ediaindonesia;;
;dtodayco Hahahaha...lucu yg dukung asli warga jkt bukan tuh ..apa pendatang yg tinggal di jkt..pilkada masih  thn lagi.pemprov DKI lg bekerja keras masalah pandemi.ini mlh bicarain DKI .blm saatnya x ngomong buat pilkada.jangan buat gaduh deh di jkt..;;
;raster @jakapujakesuma @drnewstwit @PerkasaHabsyah @adiimilano @elisa_jkt @firdzaradiany nolak pilkada krn keramaian dikala pandemi. Ternyata keramaian demo gak berpengaruh thd pandemi.;;
;akapujakesuma @drnewstwit @PerkasaHabsyah @adiimilano @firdzaradiany Bkn abal abal, mungkin testnya kurang, mungkin yg demo banyak orang luar jakarta, dst dst.   Gw tolak pilkada kr lg pandemi cm penting untuk elit, gw dukung demo krn omnibus hrs ditolak demi kepentingan orang by;;
;pnncom Dalam beberapa hal saya setuju pendapat Prof @Prof_Azyumardi.  Misalnya soal Omnibus Law, pemerintah abaikan pendapat NU dan Muhammadiyah, juga soal Pilkada di tengah pandemi.;;
;uranggawarna Suru pilkada lagi aja si, nanti selese pandemi;;
;opetimjang Faktor Disinformasi sejak awal pandemi (yang katanya ngga akan masuk Indonesia dan ngga akan berbahaya) sampe diijinkan nya Pilkada, and then faktor oknum RS yang mengcovidkan pasien padahal belum dicek apa-apa. Terkadang harus lihat sisi lain dari kenapa itu?;;
;utchaOO @frozentez @detikcom @jokowi Kasian ya rakyat kalo pake logika adu domba gini . Dari awal pandemi mah nurut ... Mentri goyang ubur buat korona ilang apa kabar ..... Salah rakyat itu ? Trus kenapa kekeh ngadain pilkada trus jadi klaster baru apa kabar? , Udah tahu nataru k;;
;isaAmartatara Stop kerumunan kegiatan ormas, Pilkada di masa pandemi, nyawa manusia jauh lebih berharga apalagi dibandingkan kepentingan politik. Mari jaga diri dan keluarga masing.;;
;ndopolicestate @budiwxh @TirtoID Ngurus Pilkada serentak, sanggup. Masa beresin satu wilayah supaya sektor pariwisata gak gitu anjlok aja gak sanggup? Padahal udah ngutang . triliun lebih buat pandemi.  Kalo kualitas otak rendah ya tinggal nyontek kebijakan negara lain, jangan ma;a,tinta dll;
;udiPra @tau_gak @Gintjm @LaporCovid @jokowi Termasuk yg mengijinkan Pilkada ya, Juga yg gak mau lockdown sejak awal pandemi ya Njing,;a;
;eiszChalifah Cuma pdip aja yg berani saat kadernya jadi mensos korupsi dana bansos yg sedang melawan pandemi  Apa karena itu mereka selalu menang pilkada dan pilpres, soalnya kadernya selalu berani korup utk mencari dana??;;
;eloraco Bukan pikirin pandemi malah bikin relawan..pilkada masih thun depan x..udah ga zaman pake relawan..tunggu lah waktunya kn bs adu visi misi ..;;
;adangrhs Pandemi tdk berkurang, rakyat tdk tertib.. Pilkada main uang, rakyat mudah dibeli.. Hukum carut marut, rakyat tdk taat hukum.. Bahkan bencana alampun dibilang rakyat kurang perhatikan lingkungan.. Begini amat jadi rakyat...;;
;JJ_ WKWKWKWKWKWKWKKWWK sama buku protokol kesehatan pilkada selama pandemi ga?;;
;ribu orang meninggal masih alhamdulillah? Belum lagi yg di PHK dan bisnisnya hancur.  Etikamu sbg pemimpin  dmn pak okowi  Saat pandemi kamu masih izinkan pilkada.  Di awal pandemi kebijakan kamu yg lambat menutup bandara atas alasan pariwisata buat jadi malapetaka!;;
;Pilkada Serentak Dilindungi Undang Tapi PILKADA MAUT Kata Nitizen Benar'Adanya, Apalagi Didukung Ahli Pandemi uruwabah,Dr.Pandu Riono dan Dr Tirta di @ILCtv Kerumunan Masa PILKADA Dilindungi UU Tapi Virus Covid Tak Ngerti UU, Harian  ribu  rb Meledug;;
;dtodayco Orang gila yg udh mikirin pilkada jakarta saat negara msh pandemi dan bangkrut;;
;Selumbung @RamliRizal Ini ada saran baik dari @RamliRizal sejak awal pandemi dan khusus utk bu mensos  https://t.co/tBpPSOWqAO  bukan malah kampanye untuk pilkada DKI. Tugas mensos skrg adalah tangani Rakyat Indonesia yg kena dampak pandami!!!  https://t.co/IpVcLYG;;
;utraWadapi Kegoblokan yg HQQ. Pembentukan relawan dan pengumpulan massa ditengah pandemi!  Bu Risma masih jadi menteri dan pilkada masih  tahun lagi! Biarkan Bu Risma menyelesaikan tugas nya dulu🙏;;
;aradhipta_Yujo Kalo gubernur gagal  Coba dibuat Pilkada DKI  Tandingkan bu Risma dg Anies  Kalo sampai Pilkada saja di tunda kelamaan selama  tahun karna ndak berani tandingkan Kalo Pilkada  ditengah pandemi saja di paksakan Msak Pilkada  dimana sudah vaksin Tapi takut dilaksanak;;
;prilLagiAza Kalo gubernur gagal  Coba dibuat Pilkada DKI  Tandingkan bu Risma dg Anies  Kalo sampai Pilkada saja di tunda kelamaan selama  tahun karna ndak berani tandingkan Kalo Pilkada  ditengah pandemi saja di paksakan Msak Pilkada  dimana sudah vaksin Tapi takut dilaksanakan;;
;atu_hati_ Kalo gubernur gagal  Coba dibuat Pilkada DKI  Tandingkan bu Risma dg Anies  Kalo sampai Pilkada saja di tunda kelamaan selama  tahun karna ndak berani tandingkan Kalo Pilkada  ditengah pandemi saja di paksakan Msak Pilkada  dimana sudah vaksin Tapi takut dilaksanakan;;
;bithEBITH @panca padahal dari awal pandemi masuk,pemerintah kurang sigap dalam menanganinya,tapi malah rakyat yang terus disalahkan 🤔  yang ngotot ngadain pilkada kemaren siapa ya?;;
;eloraco Kalau ngembat dana bansos disaat pandemi???? Mungkin bg pdip itu mulia kali ya krn bs bagi handai tolan apalg saat pilkada;;
;IVAcoid @PutraWadapi Goblo dipelihara..pilkada pas pandemi.;l, serta pilkada.;
;residenKopi Saya juga heran, masih pandemi meuni keukeuh gelar Pilkada....;;
;IVAcoid Ngadakan Pilkada ajah dah salah Bu tanpa memikirkan dampaknya yg penting anak mantu menang, para ahli pandemi, akademisi dan IDI sdh mengkritik tuk tunda;ang br sibuk urus pandemi;
;riawan Kiyeu keun wae kitu meh kenteng gawe na.😂  Pak Ketum yok bisa yok kalo bapak bisa menjalankan lagi bola di tengah pandemi ke ku abi rek di pilih PILKADA JABAR !!!;;
;ik_arif Mari kita bangun infrastruktur.. Ekonomi kita akan pulih  Pandemi sudah melandai Pilkada lancar dan sukses... Hutang negara aman terkendali Gubraaaaaakkkkkkkkk........ kagak ada yg bener semua. trus mo dikasih nilai brp ini?;;
;Silakan buat teman-teman media yg punya waktu luang hari Minggu lusa untuk mendengar presentasi survei nasional SI_Lembaga pasca-pilkada serentak kemarin tentang politik uang di masa pandemi.  https://t.co/kGxLGTfS;;
;bdiWirajaya ndro_Mawardi Dari arak Bali ampuh mencegah Corona sampai jumlah kematian dilebih-lebihkan oleh rumah sakit, kepemimpinannya patut dipertanyakan dalam penanganan pandemi. untung gak ikut Pilkada kemarin, setidaknya tidak berandil memilih dia;;
;ndisatriaaaa Lebih baik pindah ibukota lah.. Urusan pandemi mah selow, yg penting pilkada lancar..;;
;_y_o_k Saat keputusan PILKADA tetep jalan, Masyarakat udah bodo amat mau jadi apa, asal bisa cari duit buat makan. Jadi kayak gini carut marutnya.  Kesian Tenaga Medis. Anggaplah benar Covid tidak seberbahaya itu, tapi mereka ga bisa pulang dari medan perang lawan pandemi.;;
;ahaDw sekarang 'mati-matian' nyuruh rakyat hentikan pandemi, beberapa waktu lalu ... walau rakyat MENOLAK .... dikau  'mati-matian' menyelenggarakan Pilkada demi beberapa gelintir kandidat calon koruptor ... EGP ah!!! LazyHazyCrazy NegeriParaSquirrelan  LeftPersonInTheLeftPositio;;
;ss bukannya berusaha mengatasi pandemi, malah memperparah ekonomi rakyat yg sudah hancur kena pandemi..hadeeehhhhh..... apa kabar dgn pilkada yg jalan trs????;;
;DPR Jadwalkan Evaluasi Pilkada Pandemi  https://t.co/WtEdObQwpI via arianbatampos   pilkada COVID;;
;unaditaufiq @mabduh @CNNIndonesia Masa Pandemi harus blusukan ke seluruh Indonesia? Pilkada juga masih lama.;;
;rchamfauzi @dondihananto Kebijakan pilkada? Kebijakan non lockdown? Kebijakan tiket pesawat murah? Kebijakan turis china tetep masuk? Kebijakan denial diawal pandemi? Kebijakan vaksin buat yg bpjs tapi gajadi. Kebijkakan vaksin berbayar tpi jadi gratis. Atau kebijakan yg mana yg;;
;obeh tadinya saya ingin sepakat dengan dandim itu krn ini masa pandemi.... tapi ketika kerumunan pilkada dibiarkan saja, maka tindakan dandim ini merupakan ketidak adilan.;;
;umparan Salah satu pertanyaan ku, apakah ada kaitannya dengan penyelenggaraan pilkada serentak di tengah pandemi?;;
;ndostransfer Pilkada aja ada bilik khusus org yg suhunya diatas normal,jadi liga nya gaboleh jalan karena pandemi atau karena ga ada duit masuk ke kepolisian? 🤔  Padahal tanpa penonton kan bisa  https://t.co/UWScSyv;;
;gkongNtRbt @KakekHalal @SatyaJogja_ @Ch_Chotlmah ayDonuts Misal berani menyelenggarakan Pilkada di tengah Pandemi;;
;"Para pemimpin, pengurus, &amp; kader demokrat yg saya cintai &amp; banggakan, banyak peristiwa, suka duka, setahun terakhir ini. Dari krisis pandemi &amp; ekonomi yg melanda negeri, hingga Pilkada. Di antara kita, ada yg merayakan kemenangan, ada pula yg msh tertunda keberhasilan";://t.co/oYMMrhFtR;
;etikcom Masih banyaj beruta yang perlu di ungkap dan/atau di up min. Korupsi bansos,korupsi asabri,kebakaran kejaksaan agung, penghapusan red notice djoko tjandra, pandemi dikala pilkada. Tolong banyak yg perlu di ungkap, negara sdg baik-baik saja kah?  https://t.co/gaxkOSnnR;;
;autsar Memang sdh kalah bg seiring dgn kebijakan pemerintah menerapkan pilkada dn kegiatan lainnya meskipun di bungkus dgn slogan  M, kita aja masih baper dgn omkosnya penguasa, kamoe d Gampong Hana ngaruh le dng pandemi;;
